Time,Asianet,News24,Manorama,MediaOne,AlJazeera,NDTV
2020-08-22 15:05:47,5716,6242,2551,1888,4008,2432
2020-08-22 15:06:33,5613,6294,2562,1721,4018,2343
2020-08-22 15:07:23,5573,6342,2544,1605,4030,2575
2020-08-22 15:07:56,5156,6365,2629,1587,4026,2808
2020-08-22 15:08:32,4710,6399,2606,1546,4029,2962
2020-08-22 15:09:05,4526,6426,2604,1549,4017,3239
2020-08-22 15:09:52,4396,6309,2524,1587,4035,3405
2020-08-22 15:10:33,4229,6260,2492,1678,4069,3499
2020-08-22 15:11:14,4139,6225,2520,1663,4046,3503
2020-08-22 15:12:05,4256,6222,2466,1675,4022,3368
2020-08-22 15:13:35,4535,6302,2419,1746,4025,3302
2020-08-22 15:14:20,4584,6300,2318,1792,4021,3515
2020-08-22 15:15:26,4110,6451,1995,1911,4029,3603
2020-08-22 15:16:24,3911,6398,1927,1942,4006,2827
2020-08-22 15:17:32,3871,6374,1855,1813,4002,2568
2020-08-22 15:18:19,4023,6203,1834,1542,4032,2566
2020-08-22 15:19:20,4146,5956,1798,1506,4030,2474
2020-08-22 15:20:39,3881,6014,1964,1530,4066,2492
2020-08-22 15:21:38,3641,5878,2029,1554,4101,2527
2020-08-22 15:22:41,3626,6029,2025,1548,4205,2645
2020-08-22 15:23:48,3761,6178,2031,1308,4229,2995
2020-08-22 15:24:53,3967,6052,2015,1266,4278,3058
2020-08-22 15:25:57,4197,5890,2075,1255,4324,3039
2020-08-22 15:26:56,4300,5891,2105,1234,4372,3059
2020-08-22 15:28:03,4442,5825,2109,1246,4409,3299
2020-08-22 15:29:07,4590,5837,1773,1232,4424,3614
2020-08-22 15:30:08,4635,5831,1684,1203,4509,3509
2020-08-22 15:31:11,4599,5777,1656,1158,4513,2521
2020-08-22 15:32:12,4625,5661,1639,1161,4516,2373
2020-08-22 15:33:16,4634,5599,1642,1103,4526,2350
2020-08-22 15:34:22,4291,5682,1760,1082,4555,2334
2020-08-22 15:40:52,4239,5913,1591,1165,4555,2248
2020-08-22 15:42:33,4337,5708,1575,1210,4536,2111
2020-08-22 15:43:35,3580,5890,1584,1169,4545,2265
2020-08-22 17:44:27,5781,10350,3382,2441,4087,3726
2020-08-22 17:45:41,5966,10778,3583,2599,4053,3805
2020-08-22 17:46:25,6343,11087,3855,2686,4049,2791
2020-08-22 17:47:16,7033,11560,4127,2868,4050,2228
2020-08-22 17:47:58,7780,12073,4606,2907,4044,2086
2020-08-22 17:48:37,8811,12448,5091,3066,4059,2066
2020-08-22 17:49:19,9948,13184,5666,3341,4081,2156
2020-08-22 17:50:04,11157,13710,6204,3665,4077,2165
2020-08-22 17:50:41,12249,14629,6842,3948,4038,2180
2020-08-22 17:51:25,13220,15576,7362,4162,4035,2329
